Food_code,Seq_num,Additional_food_description,Start_date,End_date
11514140,5,Nestle's,2017-01-01,2018-12-31
11514140,6,Carnation,2017-01-01,2018-12-31
11514140,7,skim,2017-01-01,2018-12-31
11514150,1,"almond, coconut, rice, and soy milk",2017-01-01,2018-12-31
11514150,2,"cocoa mix, NFS",2017-01-01,2018-12-31
11514150,3,Swiss Miss,2017-01-01,2018-12-31
11514150,4,Hershey's,2017-01-01,2018-12-31
11514150,5,Nestle's,2017-01-01,2018-12-31
11514150,6,Carnation,2017-01-01,2018-12-31
11514310,1,"fat free, light, diet or sugar free mix",2017-01-01,2018-12-31
11514310,2,Swiss Miss,2017-01-01,2018-12-31
11514310,3,Hershey's,2017-01-01,2018-12-31
11514310,4,Nestle's,2017-01-01,2018-12-31
11514310,5,Carnation,2017-01-01,2018-12-31
11514320,1,"fat free, light, diet or sugar free",2017-01-01,2018-12-31
11514320,2,Swiss Miss,2017-01-01,2018-12-31
11514320,3,Hershey's,2017-01-01,2018-12-31
11514320,4,Nestle's,2017-01-01,2018-12-31
11514320,5,Carnation,2017-01-01,2018-12-31
11514330,1,"fat free, light, diet or sugar free mix",2017-01-01,2018-12-31
11514330,2,Swiss Miss,2017-01-01,2018-12-31
11514330,3,Hershey's,2017-01-01,2018-12-31
11514330,4,Nestle's,2017-01-01,2018-12-31
11514330,5,Carnation,2017-01-01,2018-12-31
11514330,6,NS as to type of milk,2017-01-01,2018-12-31
11514330,7,2% fat,2017-01-01,2018-12-31
11514340,1,"fat free, light, diet or sugar free mix",2017-01-01,2018-12-31
11514340,2,Swiss Miss,2017-01-01,2018-12-31
11514340,4,Nestle's,2017-01-01,2018-12-31
11514340,5,Carnation,2017-01-01,2018-12-31
11514340,6,H ershey's,2017-01-01,2018-12-31
11514340,7,1% fat,2017-01-01,2018-12-31
11514350,1,nonfat milk,2017-01-01,2018-12-31
11514350,2,"fat free, light, diet or sugar free mix",2017-01-01,2018-12-31
11514350,3,Swiss Miss,2017-01-01,2018-12-31
11514350,4,Hershey's,2017-01-01,2018-12-31
11514350,5,Nestle's,2017-01-01,2018-12-31
11514350,6,Carnation,2017-01-01,2018-12-31
11514350,7,skim,2017-01-01,2018-12-31
11514360,1,"almond, coconut, rice, and soy milk",2017-01-01,2018-12-31
11514360,2,"fat free, light, diet or sugar free mix",2017-01-01,2018-12-31
11514360,3,Swiss Miss,2017-01-01,2018-12-31
11514360,4,Hershey's,2017-01-01,2018-12-31
11514360,5,Nestle's,2017-01-01,2018-12-31
11514360,6,Carnation,2017-01-01,2018-12-31
11519040,1,NS as to milk or drink,2017-01-01,2018-12-31
11519040,3,vanilla,2017-01-01,2018-12-31
11519040,6,flavors other than chocolate,2017-01-01,2018-12-31
11519050,2,flavors other than chocolate,2017-01-01,2018-12-31
11519050,3,vanilla,2017-01-01,2018-12-31
11519105,3,vanilla,2017-01-01,2018-12-31
11519105,7,flavors other than chocolate,2017-01-01,2018-12-31
11519105,8,2% fat,2017-01-01,2018-12-31
11519200,3,vanilla,2017-01-01,2018-12-31
11519200,7,flavors other than chocolate,2017-01-01,2018-12-31
11519200,8,1% fat,2017-01-01,2018-12-31
11519205,1,nonfat milk,2017-01-01,2018-12-31
11519205,3,vanilla,2017-01-01,2018-12-31
11519205,6,flavors other than chocolate,2017-01-01,2018-12-31
11519205,7,skim,2017-01-01,2018-12-31
11519210,1,vanilla,2017-01-01,2018-12-31
11519210,2,flavors other than chocolate,2017-01-01,2018-12-31
11519215,1,"almond, coconut, rice, or soy milk",2017-01-01,2018-12-31
11526000,1,Ovaltine,2017-01-01,2018-12-31
11526000,2,NS as to flavor,2017-01-01,2018-12-31
11526000,3,all flavors,2017-01-01,2018-12-31
11531000,1,"eggnog, NFS",2017-01-01,2018-12-31
